Temperature (Celsius)	Time (10/17/24)
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.450000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.440000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
25.430000	1:38 PM
